Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DEPUY, 1976  TotAL Hip PROSTHESE 7,,I-Beam,,Cobalt chrome alloy,Typically used with hip fracture management,,,Head size 41/63mm Stem length 165/190mm Neck length 24/36mm,One piece broach  Impactor Head sizer        7 Saal ¥ £4,,,I-beam design provides for rotational stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,DEPUY,1976,,Thompson,,Cobalt chrome alloy,Typically used with hip fracture management,,,Head size 38/63mm  Neck length 26/38mm,One piece broach  Impactor  Head sizer     L) 22,,,I-beam design provides for rotational stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DEPUY," October, 1990           TortAL Hip PROSTHESE Femoral Components",,Modular Cathcart,,Cobalt chrome alloy,Typically used with hip fracture management,,,41-60mm,Articul/eze??trial sleeve Trial sleeves  Trial heads  Head sizers,,,Cathcart design mimics femoral component?�s head anatomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DEPUY,1987,,Self Centering??Bi-Polar,,Shell cobalt chrome alloy  Poly insert UHMWPE,Hip fracture management,,,22.225mm 28mm  32mm,Head sizers Trial components (one case),,,"Design self-centers to joint reaction force, minimizing articulation with acetabular cartilage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,DEPUY,1994,,Endurance??Total Hip System Endurance??Luster Total Hip System,"Broad radius geometry, Charnley flange, tapered geometry and radiused lateral shoulder",Forged cobalt chrome alloy,Primary cemented total hip arthroplasty,,"Based on Charnley philosophy  Proximal lateral flange for compression of cement  Proximal grit blast surface for *nhanced bond strength  Available in high-polished version-luster   Available with standard and high offset components  For each stem size, the standard and high offset stems have a constant leg length","10 sizes Available ( 5std. 5 high offset)  Range of stem diameters 8-13mm distal  Range of stem lengths 105-135mm  Also CDH, revision and calcar   Replacement stems Available",Endurance??instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,DEPUY," January, 1990",,Response??Hip System,Straight fenestrated or solid stem geometry Available with or without polyethylene insert,Orthochrome® cobalt chrome alloy,Cemented or press-fit,Cemented or press-fit,"Modular design, 135° stem/neck angle, collar, fenestrated stem geometry Available with optional polyethylene insert   Roughened micro-textured surface, solid stem geometry   Cementralizer® stem centralizer Available","5 stem diameters 10.5, 12.0, 13.5, 15.0, & 16.5mm",Excel??instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,," February, 1994",,Stability??Hip System,,Titanium alloy,Uncemented primary,,,22 sizes Available Stem diameters 10-18mm Stem lengths 145-165mm,,,,Proximal metaphysical horizontal ridges to reduce hoop stresses Distal coronal slot to reduce stem stiffness  Distal flutes for rotational stability Available porous-coated or HA-coated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,DEPUY,1992,,Ultimate-C??Hip System,,Forged cobalt chrome alloy,Cemented primary,,,5 sizes Stem diameter 7-13mm Stem lengths 110-150mm,,,,"Lateralized flange, constant offset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DEPUY,1988,,The CML??Hip System,,Cast cobalt chrome alloy,. Designed for cement application using  AML® instrumentation,,,5 sizes Available Stem diameters 9.0/15.0 Stem lengths 120/165mm,Excel??instruments,,,Modular design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,DEPUY," October, 1995",,Paramount??Total Hip System,,Forged cobalt chrome alloy,Cemented primary,,,4 sizes Available (rights and lefts) Stem lengths 120/150mm,Excel??instruments and Prodigy neck segments,,,Biomechanically replicates offset  10° of anteversion in all sizes Constant stress neck  Proximal flanged geometry Distal rectangular cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,DEPUY," December, 1994",,Endurance??Revision Stems,,Forged cobalt chrome alloy,"Primary revision, calcar replacing design",,,13 stems Available 2 Calcar stems 7 straight-long stems 4 bowed stems Stem diameters 9.0/11.0mm   Stem lengths 180/300mm,Moreland instruments,,,The flange compresses cement and *nhances torsional stability   Medial collar with 30° orientation minimizes bone resection and controls insertion depth   Proximal micro-texturing surface *nhances bond strength at the cement/metal implant interface  Oval driver hole controls version upon insertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,DEPUY," June, 1995",,Stature??Total Hip System,,Titanium alloy,Uncemented primary,,,Sizes 1-9 Available,,,,Incremental offsets  Proximal circumferential Porocoat® porous coating or hydroxyapatite   Ten degrees anteversion   135 degree neck shaft angle   Impactor hole in line with the stem center to provide *fficient transfer of impaction load  Smooth cylindrical stem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,DEPUY," January, 1985",,Profile??Hip System,,Titanium alloy,Uncemented primary total hip arthroplasty,,,"6 sizes, rights and lefts Stem diameters 11.5-15.5mm Stem lengths 118-140mm",,,,"Anatomic design based off imaged anatomy of the femur   Press-fit, Porocoat® porous coated or HA-stems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,DEPUY,1991,,Duraloc® 100 Series,,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,,,10 sizes Available  Cup diameters 48/66mm,"Graters, trials, impactors Duraloc instrumentation",,,No screw holes  Used with gas plasma poly sterilization  Porocoat® porous coating   Congruent contact between metal shell and liner  Patented sensor locking ring technology  Apex hole eliminator Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DEPUY,1990,,Duraloc® 300 Series,,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,,,14 sizes Available  Cup diameters 48-74mm Size 68-74 offer peripheral rim screws,Graters Trials  Impactors Duraloc instrumentation,,,Incorporates 3 spikes to maximize implant stability and rotational control  Used with gas plasma poly sterilization   Porocoat® porous coating  Congruent contact between metal shell and liner   Patented sensor locking ring technology  Apex hole eliminator Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,DEPUY," April, 1993",,Duraloc® Sector Cup,,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,,,10 sizes Available  Cup diameters incrementally sized from 48-66mm,Graters Trials  Impactors  Duraloc instrumentation,,,Three screw holes Porocoat® porous coating  Congruent contact between metal shell and liner   Patented sensor locking ring technology   Apex hole eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,DEPUY, 1990  ACETABULAR COMPONENTS Uncemented,,Duraloc® 1200 Series,,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,,,14 sizes Available Cup diameters 48-74mm,Graters Trials  Impactors (Duraloc instrumentation),,,"Incorporates eight to 12 screw holes, depending on size, to maximize implant stability and provide screw position flexibility   Porocoat® porous coated  Dome loaded design minimizes liner/shell micromotion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DEPUY,1996,,Duraloc® 400 Series,,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,,,10 sizes Available  Cup diameters 48-66mm,Graters   Trials   Impactors   Duraloc instrumentation,,,Peripheral fins offer additional stability and rotational control   Used with gas plasma poly sterilization   Congruent contact between metal shell and liner   Patented sensor locking ring technology   Apex hole eliminator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DEPUY,1992,,Solution System® Acetabular Component,,Titanium alloy,Revision THA Protrusio acetabulum,,,12 sizes Available Cup diameters 56-80mm,Graters  Trials   Impactors  Duraloc instrumentation,,,"Peripheral screw holes  Available in standard and deep profile to help restore biomechanics   Deep profile cup offers a +4 build up to address offset deficiencies  Shells can also be used with +4 liners   Competitive with any Duraloc polyethylene liner, gas plasma sterilized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,DEPUY,1996,,Duraloc® Bantam Series Cup,,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty,,,5 sizes Available ® Cup diameters 38-46mm,Graters  Trials   Impactors   Duraloc instrumentation,,,Addresses small acetabular requirements   Porocoat® porous coating   Congruent contact between metal shell and liner   Patented sensor locking ring technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,DEPUY," 1990, 1992, 1996",,Duraloc® Polyethylene Liners,"Used in conjunction with Duraloc and Solution System metal shells, Available in neutral, 10° face changing, 20° hooded and +4 lateralized liners",UHMWPE - Enduron??Hylamer%o,Total hip arthroplasty,"A painful and/or disabled joint resulting from osteoarthritis, rheumatoid arthritis, traumatic arthritis   Avascular necrosis of the femoral head  Failed previous surgery Certain cases of ankylosis",,"Neutral 22.225, 26, 28, 32mm 1.D.; sizes 48/74mm  10° face changing 22.225, 26, 28, 32mm 1.D,; sizes 48/74mm  20° hooded 28mm I.D.; sizes 48/74mm  +4 liners 28, 32mm I.D,; sizes 48/74mm",Used with Duraloc instruments,"All Duraloc liners sterilized via gas plasma, virtually eliminating oxidation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,DEPUY,1988,,Focus® All-Poly Cup,,UHMWPE GUR 415,Indicated for cemented use only,,,28mm I[.D. 44/58mm O.D. 32mm [.D. 44/58mm O.D.,Focus cup impactor,,,All cups Available with a neutral lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,DEPUY,1988,,Charnley/Elite/Elite+ All-Poly Cup,,*s UHMWPE,Indicated for cemented use only,,,"40-53mm O.D. 22.225,26,28mm [.D.",Charnley introducer Pusher,,,Available in a ?�low profile wall??Standard and Ogee configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DEPUY,1995,,Endurance??All-Poly Cup,,*s UHMWPE GUR 1050,Indicated for cemented acetabuli,,,22.225 1.D. 44/60mm  28mm 1.D. 44/60mm 32mm I.D. 44/60mm,Cup introducer Version control guide,,,Offers 3mm PMMA mantle with spacers 20° high wall Available in all sizes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,DEPUY,1987,,"ACS (AML+®, Tri-Lock+®, Profile®, Gemini®, Star®)",,Titanium alloy,Surgeons who prefer cementless fixation in either primary or revision total hip arthroplasty.,,,*s AML+® 44/70mm  Gemini® 48/72mm  Tri-Lock+® 46/75mm Profile® 44/70mm  Star® 46/70mm  POLYETHYLENE SIZES  GR1 44-48mm GR 2 50-56mm GR 3 58-64mm GR4 66-75mm     / 3 ~~ 2 \y oe ph A = i,,,,AML+® cup 3 porous coated spikes with rim screws  Tri-Lock+® porous coated with rim SCrews   Profile® 2 spikes with dome screws Gemini® multi-hole cup Star Cup® threaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,DEPUY," August, 1982",,AML®/Tri-Lock® Cup,,One-piece cobalt chrome alloy cup,Surgeons who prefer cementless fixation in *ither primary or revision total hip arthroplasty,,,"AML® 36-58mm 0O.D.; 22, 28, 32 [.D. Tri-lock 44-58mm 0O.D.; 22, 28, 32 [.D.",Poly-impactor,,,AML® three porous coated spikes  Tri-lock porous coated Replacement liners Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,DEPUY," May, 1987",,Cementralizer,,*s PMMA,To center the distal tip of a cemented femoral component within the femoral canal to ensure a uniform cement mantle and avoid varus placement of the stem,,,11-19.5mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,DEPUY," May, 1980",,Cement Restrictor,,UHMWPE,Restrict cement flow,,,8-23mm,Restrictor inserter handle Trial restrictor,,,Seven sizes Available ranging from 8-23mm  The restrictor incorporates and x-ray wire for easy location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,HOWMEDICA INC.,,1996,Meridian® ST Femoral Component,A proximal-canal-filling straight stem with circumferential porous coating and reduced distal stiffness,Vitallium® alloy,Primary total hip arthroplasty,Non-cemented applications in primary total hip arthroplasty,"Anatomic offsets, circumferential porous coating, unique distal split and grooves, polished distal stem, gradual taper and rounded distal tip","18 stem sizes, ranging in length from 110mm to 160mm 6 different modular head neck lengths  Femoral head sizes 26mm, 28mm, and 32mm diameters",C6mmand® instrument system,V40??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HOWMEDICA INC.,,1996,Definition® PM Femoral Component,"A forged, collared straight stem with an integral Pre-Mantle??design",Vitallium® alloy. PMMA pre-mantle and distal ring centralizer,Primary total hip arthroplasty,Cemented applications,"Anatomic offsets; integral, patented PMMA pre-mantle; cobra flare; grit blast surfaces; streamlined distal ring centralizer; and, distal grooves","7 stem sizes, ranging in length from 110mm to 135mm 6 different modular head neck lengths  Femoral head sizes 26mm, 28mm, and 32mm diameters",C6mmand® instrument system,V40??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,HOWMEDICA INC.,,1996,Reliance® CM Femoral Component,A traditional forged stem with collar for cemented applications,Vitallium® alloy and PMMA distal centralizer,Primary total hip arthroplasty,Cemented applications,"Anatomic offsets, proximal teardrop and distal centralizer","5 stem sizes, ranging in length from 110mm to 125mm 6 different modular head neck lengths  Femoral head sizes 26mm, 28mm and 32mm diameters",C6mmand® instrument system,V40??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HOWMEDICA INC.,,1991,Premise® Hip Stem,A cost-effective cemented stem-based on the proven fundamental principles of cemented implant designs,Vitallium® alloy. PMMA distal centralizers,Primary total hip arthroplasty,Cemented applications,"Broad collar, A/P teardrop, proximal grit blast surface and distal centralizer option","4 stem sizes, ranging in length from 114mm to 130mm  Distal centralizers 10mm through 18mm",Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,HOWMEDICA INC.,,1994,Premise® Plus Forged Hip Stem,A traditional cemented design with increased head offsets to restore the natural biomechanics of the hip without creating leg-length discrepancy or limp,Forged Vitallium® alloy. PMMA distal  centralizers,Primary total hip arthroplasty,Cemented applications,"Broad collar, increased head offset, A/P teardrop, proximal grit blast surface and distal centralizer option","4 stem sizes, ranging in length from 114mm to 130mm   Distal centralizers 10mm through 18mm",Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,HOWMEDICA INC.,,1985,Precision Hip Stem,Modern cemented stem with reproducible distal and proximal stem orientation through PMMA centralizers; proper soft tissue tensioning through anatomic neck offset options; and secure cement fixation through proximal microtexturing,Forged Vitallium® alloy. PMMA distal centralizers,Primary total hip arthroplasty,Cemented applications,Head offset options and proximal and distal centralizers,"8 stem sizes, ranging in length from 115mm to 145mm   Proximal spacers 5. Distal centralizers 8, ranging in size from 10mm to 18mm",Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,HOWMEDICA INC.,,1994,Precision Strata® Hip Stem,"The original Precision stem design with an integral, pre-formed cement mantle (Pre-Mantle??, which is circumferential and tapered down the proximal stem. Distal centralizer option",Forged Vitallium® alloy. PMMA distal centralizers,Primary total hip arthroplasty,Cemented applications,"Integral, patented, pre-formed cement mantle (Pre-Mantle??. Head offset options. Distal centralizers","8 stem sizes, ranging in length from 115mm to 145mm  9 distal centralizers, from 10mm to 18mm",Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,HOWMEDICA INC.,,1997,Precision Osteolock??CL Hip Stem,"A forged TMZF® stem with circumferential plasma spray coating on the proximal third of the stem  TMZF is an exclusive beta titanium alloy that is 25% more flexible than Ti-6Al1-4V, and offers excellent wear properties, abrasion resistance and mechanical strength",Forged TMZF® beta titanium alloy Titanium distal sleeves,Primary total hip arthroplasty,Press-fit applications,Circumferential plasma spray coating and increased head offset options.,"8 stem sizes, ranging in length from 115mm to 145mm   10 distal sleeve options",Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,HOWMEDICA INC.,,1991,Precision Osteolock??HA,A forged titanium stem with a high-purity hydroxyapatite coating,Forged titanium alloy,Primary total hip arthroplasty,Press-fit applications,"High-purity hydroxyapatite coating, applied by a proprietary vacuum chamber process utilizing low pressure plasma spray (LPPS) technology","8 stem sizes, ranging in length from 115mm to 145mm  10 distal sleeve options",Yes,o 2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,HOWMEDICA INC.,," Sentry, 1994; Sentry-S, 1995",Sentry® and Sentry-S® Hip Stems,Extensively coated hip stems with increased proximal fill. Five distinct proximal geometries   Each proximal shape offers a choice of at least four distal diameters,Vitallium® alloy,Primary and revision total hip arthroplasty,Sentry® ??cemented applications   Sentry-S® ??primary cementless arthroplasty; cemented revision,5 distinct proximal shapes; 4 distal diameters from 11.0mm to 21.5mm  Straight and bowed designs Modular trials,Stem length range 160mm to 250mm,Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,," HNR, 1991; HNR-PC, 1993",HNR and HNR-PC Hip Stems,"One-piece porous coated and non-porous coated stem designs, designed for use when the proximal femur has been compromised  Each stem size offers at least two proximal body options. Bone/soft tissue reattachment features. Modular trials",Vitallium® alloy,Head/neck replacement surgery,Head/neck replacement surgery  HNT-PC - cleared for use with bone cement,One piece implants  Porous and non-porous coated designs  Various stem sizes/proximal body size combinations   Bone/soft tissue reattachment features to acc6mmodate the Dall-Miles cable grip system  Modular trials,Various stem sizes/proximal body size combinations,Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,HOWMEDICA INC.,,,Exeter Hip System,"Polished, collarless hip stem designed for long-term fixation stability.  UHMW polyethylene acetabular components and modular femoral heads",Orthinox® high-strength stainless steel. UHMW polyethylene cup and centralizer,Cemented hip arthroplasty,,"Collarless, polished stem allows for durable, long-standing stability of stem, cup and bone cement","A total of 14 stem components in 3 offset ranges to restore hip biomechanics   Head components Available in 22mm, 26mm, 28mm, and 32mm diameters, with varying neck-length options   Not all neck lengths Available in all head diameters",Yes. Special X-change??instruments are used for impaction grafting technique,Exeter System uses a unique head taper. These are not interchangeable with other Howmedica® femoral head components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,HOWMEDICA INC.,,1987,E-Series Hip Stems,Proximally porous coated or textured right and left stems; anteverted neck; collared and collarless stems,Vitallium® alloy. PMMA distal spacers used with cemented stems,Primary hip arthroplasty,Cemented and non-cemented applications,Collared and collarless  Distal modular PMMA centralizer for use with textured stems,"25 different stems, ranging in length from 118mm to 145mm  4 different modular femoral head/neck lengths  Femoral head sizes 22mm, 26mm, 28mm, and 32mm",Yes,2°52??taper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HOWMEDICA INC.,,1987,PC.A.® Acetabular Components,"PC.A. cluster two-piece outer shell components with porous coating in low profile and deep socket styles   PC.A. standard two-piece outer shell components with porous coating in low profile and deep socket styles   PC.A. two-piece inserts in neutral and 10° hooded styles in 26mm, 28mm, and 32mm inner diameters",Vitallium® alloy shells. UHMWPE inserts,Primary and revision total hip arthroplasty,Cementless and screw fixation applications,Cluster shell is designed for optimal placement of cancellous bone screws  Standard shell incorporates two fixation pegs to enhance torsional stability   Inserts are generously thick and fully congruent,Cluster Shell 40mm to 73mm O.D. Standard Shell 40mm to 67mm O.D.  Inserts 40mm to 73mm. Each insert fits two outer shell sizes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
